               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11427,             0.14441,                   0,           0.0094444,             0.19101,           0.0082616,           0.0016339,             0.10561,             0.10258,                   0,               0.091,               0.001,               0.001
                   1,             0.11302,             0.15387,                   0,           0.0083333,             0.16854,            0.006659,           0.0017455,              0.1057,             0.10207,                   0,            0.081065,           0.0020654,           0.0020654
                   2,             0.11015,             0.11928,                   0,           0.0072222,             0.14607,           0.0055803,           0.0016629,             0.10551,             0.10152,                   0,            0.071094,           0.0030944,           0.0030944
                   3,             0.11033,             0.16374,                   0,            0.011111,             0.22472,            0.011455,           0.0030054,             0.10431,             0.10223,                   0,            0.061087,           0.0040871,           0.0040871
                   4,             0.10677,             0.14717,                   0,            0.048512,             0.14607,            0.040417,           0.0089952,             0.10069,             0.10485,                   0,            0.051044,           0.0050436,           0.0050436
                   5,             0.10519,             0.15948,                   0,            0.048512,             0.14607,            0.040417,           0.0089952,             0.10069,             0.10485,                   0,            0.040964,           0.0059638,           0.0059638
                   6,             0.10383,             0.17317,                   0,            0.051039,              0.1236,            0.036317,           0.0083094,             0.10069,             0.10485,                   0,            0.030848,           0.0068476,           0.0068476
                   7,             0.10138,             0.15321,                   0,             0.23292,            0.058069,            0.072142,             0.01811,            0.098653,              0.1046,                   0,            0.020695,           0.0076952,           0.0076952
                   8,             0.10331,             0.16551,                   0,             0.22805,            0.056441,            0.061943,             0.01633,            0.098653,              0.1046,                   0,            0.010506,           0.0085064,           0.0085064
                   9,             0.10315,              0.1662,                   0,             0.23292,            0.058069,            0.072142,             0.01811,            0.098653,              0.1046,                   0,            0.008515,            0.008515,            0.008515
                  10,            0.099963,             0.15202,                   0,             0.12889,             0.11236,            0.050564,            0.013873,             0.09713,             0.10505,                   0,            0.008515,            0.008515,            0.008515
                  11,            0.096893,             0.14122,                   0,             0.12725,             0.11236,            0.060788,            0.016435,             0.09713,             0.10505,                   0,             0.00835,             0.00835,             0.00835
